time after final STZ injection (weeks),fasting blood glucose (mmol per l),Mouse group 
-1,8.1,normal
1,5.2,normal
2,7,normal
3,6.8,normal
4,6.2,normal
5,6.8,normal
6,8,normal
7,7.2,normal
8,5.6,normal
-1,7.3,normal
1,6.9,normal
2,7,normal
3,6.3,normal
4,6.5,normal
5,5.8,normal
6,9.3,normal
7,7.5,normal
8,6,normal
-1,8.5,normal
1,6.9,normal
2,7.3,normal
3,6.6,normal
4,4,normal
5,5.7,normal
6,8.8,normal
7,7.3,normal
8,5.8,normal
-1,8.4,normal
1,6.5,normal
2,7.6,normal
3,5.9,normal
4,5,normal
5,6.5,normal
6,7.8,normal
7,7,normal
8,6.5,normal
-1,9.8,normal
1,7.8,normal
2,7.3,normal
3,6.5,normal
4,6.4,normal
5,6,normal
6,5.8,normal
7,6.9,normal
8,6.3,normal
-1,10.4,normal
1,6.8,normal
2,7.6,normal
3,7.7,normal
4,7.2,normal
5,6.3,normal
6,8.4,normal
7,6.5,normal
8,6.1,normal
-1,8,normal
1,6.7,normal
2,7.3,normal
3,6.6,normal
4,5.9,normal
5,6.2,normal
6,8,normal
7,7.1,normal
8,6,normal
-1,7.4,normal
1,6.8,normal
2,7.1,normal
3,6.6,normal
4,5.7,normal
5,6.7,normal
6,8,normal
7,7.3,normal
8,6,normal
-1,8.1,normal
1,6.7,normal
2,7.2,normal
3,6.4,normal
4,6,normal
5,6.6,normal
6,7.6,normal
7,7.2,normal
8,5.7,normal
-1,8.4,normal
1,6.6,normal
2,7,normal
3,6.5,normal
4,6,normal
5,6,normal
6,7.8,normal
7,7.2,normal
8,6,normal
-1,6.3,model
1,5.9,model
2,16.1,model
3,16,model
4,18.7,model
5,17.4,model
6,15.8,model
7,23.2,model
8,18.7,model
-1,7.8,model
1,11.2,model
2,12.4,model
3,16.9,model
4,7.8,model
5,17.8,model
6,17.4,model
7,22.6,model
8,22.4,model
-1,7.8,model
1,8.6,model
2,18.6,model
3,16.7,model
4,20.2,model
5,17.1,model
6,16.7,model
7,18,model
8,26.1,model
-1,7.5,model
1,10.6,model
2,10.1,model
3,11.6,model
4,19.1,model
5,16,model
6,19.3,model
7,23.3,model
8,22.1,model
-1,8.3,model
1,11.9,model
2,17.1,model
3,20.3,model
4,21,model
5,21.9,model
6,21.3,model
7,22.8,model
8,22.3,model
-1,8.9,model
1,15.1,model
2,16.9,model
3,18.7,model
4,21.6,model
5,20.5,model
6,24,model
7,21.8,model
8,23.5,model
-1,8.3,model
1,8.2,model
2,20.3,model
3,18.4,model
4,20.1,model
5,18.7,model
6,22.4,model
7,20.9,model
8,20.1,model
-1,8.2,model
1,11.5,model
2,10,model
3,15.4,model
4,20.8,model
5,19.9,model
6,13.6,model
7,10.1,model
8,23.7,model
-1,6.7,model
1,12.2,model
2,16.5,model
3,18.4,model
4,23,model
5,20.4,model
6,23.4,model
7,26.5,model
8,21.6,model
-1,6.7,model
1,15.1,model
2,12.4,model
3,15.4,model
4,20.8,model
5,16,model
6,17.4,model
7,23.3,model
8,23.7,model
-1,8,Nano-Se-B. longum
1,13,Nano-Se-B. longum
2,17.1,Nano-Se-B. longum
3,18.8,Nano-Se-B. longum
4,6.1,Nano-Se-B. longum
5,16.3,Nano-Se-B. longum
